"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048707","GO:0048707","instar larval or pupal morphogenesis","14/18","446/11228",5.27928146703614e-17,3.3294668452108e-15,1.16699906113431e-15,"wg/arm/ovo/en/dpp/Tak1/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",14
"GO:0035120","GO:0035120","post-embryonic appendage morphogenesis","13/18","326/11228",6.18755883864377e-17,3.65839416334813e-15,1.28229015406104e-15,"wg/arm/ovo/en/dpp/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",13
"GO:0009886","GO:0009886","post-embryonic animal morphogenesis","14/18","459/11228",7.90451359500955e-17,4.39862932992884e-15,1.54174723370155e-15,"wg/arm/ovo/en/dpp/Tak1/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",14
"GO:0035114","GO:0035114","imaginal disc-derived appendage morphogenesis","13/18","335/11228",8.84048276207306e-17,4.58228989509502e-15,1.60612141644034e-15,"wg/arm/ovo/en/dpp/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",13
"GO:0048569","GO:0048569","post-embryonic animal organ development","14/18","464/11228",9.20333065611051e-17,4.58228989509502e-15,1.60612141644034e-15,"wg/arm/ovo/en/dpp/Tak1/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",14
"GO:0035107","GO:0035107","appendage morphogenesis","13/18","338/11228",9.93520825016991e-17,4.69935350233037e-15,1.6471529467387e-15,"wg/arm/ovo/en/dpp/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",13
"GO:0060562","GO:0060562","epithelial tube morphogenesis","14/18","470/11228",1.10222673816536e-16,4.90896455924037e-15,1.72062293998077e-15,"wg/arm/ovo/en/dpp/Tak1/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",14
"GO:0048737","GO:0048737","imaginal disc-derived appendage development","13/18","342/11228",1.15894308768692e-16,4.90896455924037e-15,1.72062293998077e-15,"wg/arm/ovo/en/dpp/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",13
"GO:0007552","GO:0007552","metamorphosis","14/18","473/11228",1.20517438889238e-16,4.90896455924037e-15,1.72062293998077e-15,"wg/arm/ovo/en/dpp/Tak1/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",14
"GO:0035017","GO:0035017","cuticle pattern formation","8/18","34/11228",1.24540327084322e-16,4.90896455924037e-15,1.72062293998077e-15,"wg/arm/ovo/fz/sgg/Axn/Apc/pan",8
"GO:0048736","GO:0048736","appendage development","13/18","346/11228",1.3494179974568e-16,5.10619770237651e-15,1.78975439662691e-15,"wg/arm/ovo/en/dpp/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",13
"GO:0035293","GO:0035293","chitin-based larval cuticle pattern formation","7/18","19/11228",3.56233051193439e-16,1.29614025549613e-14,4.54305308202159e-15,"wg/arm/fz/sgg/Axn/Apc/pan",7
"GO:0007476","GO:0007476","imaginal disc-derived wing morphogenesis","12/18","280/11228",7.44017193654009e-16,2.60681579702479e-14,9.13705325540011e-15,"wg/arm/en/dpp/fz/arr/dsh/sgg/Axn/Egfr/pan/tow",12
"GO:0008363","GO:0008363","larval chitin-based cuticle development","7/18","31/11228",1.83998937524671e-14,6.21653553208351e-13,2.17893478647636e-13,"wg/arm/fz/sgg/Axn/Apc/pan",7
"GO:0042337","GO:0042337","cuticle development involved in chitin-based cuticle molting cycle","7/18","32/11228",2.35316301720342e-14,7.67618004922218e-13,2.69054936631244e-13,"wg/arm/fz/sgg/Axn/Apc/pan",7
"GO:0007267","GO:0007267","cell-cell signaling","12/18","462/11228",3.0369446367031e-13,9.57649875440379e-12,3.35662301951396e-12,"wg/arm/nkd/fz/arr/dsh/sgg/Axn/gish/Apc/pan/Cow",12
"GO:0007507","GO:0007507","heart development","8/18","105/11228",1.80743913654856e-12,5.51560459088688e-11,1.93325408493309e-11,"wg/arm/dpp/fz/dsh/sgg/Axn/pan",8
"GO:0072359","GO:0072359","circulatory system development","8/18","109/11228",2.45490418798981e-12,7.25731050574489e-11,2.54373295794997e-11,"wg/arm/dpp/fz/dsh/sgg/Axn/pan",8
"GO:0007447","GO:0007447","imaginal disc pattern formation","8/18","111/11228",2.84852131673135e-12,8.16576110796321e-11,2.86215060532815e-11,"wg/en/dpp/arr/Axn/Apc/Egfr/Cow",8
"GO:0001745","GO:0001745","compound eye morphogenesis","10/18","298/11228",5.41542489789191e-12,1.50676233923699e-10,5.28129672704629e-11,"wg/arm/dpp/Tak1/fz/arr/dsh/gish/Apc/Egfr",10
"GO:0035309","GO:0035309","wing and notum subfield formation","5/18","13/11228",7.36475257884182e-12,1.99058741130982e-10,6.97713402206067e-11,"wg/dpp/dsh/sgg/Egfr",5
"GO:0048592","GO:0048592","eye morphogenesis","10/18","312/11228",8.55042399540482e-12,2.18613543233864e-10,7.66254212959465e-11,"wg/arm/dpp/Tak1/fz/arr/dsh/gish/Apc/Egfr",10
"GO:0090596","GO:0090596","sensory organ morphogenesis","10/18","312/11228",8.55042399540482e-12,2.18613543233864e-10,7.66254212959465e-11,"wg/arm/dpp/Tak1/fz/arr/dsh/gish/Apc/Egfr",10
"GO:0002168","GO:0002168","instar larval development","7/18","74/11228",1.21346682270381e-11,3.0208937217837e-10,1.05884224141746e-10,"wg/arm/fz/sgg/Axn/Apc/pan",7
"GO:0007423","GO:0007423","sensory organ development","11/18","476/11228",1.72573432461879e-11,4.18601197715225e-10,1.46722351485808e-10,"wg/arm/dpp/Tak1/fz/arr/dsh/sgg/gish/Apc/Egfr",11
"GO:0007591","GO:0007591","molting cycle, chitin-based cuticle","7/18","86/11228",3.58588636377315e-11,8.48062125032349e-10,2.97251106470669e-10,"wg/arm/fz/sgg/Axn/Apc/pan",7
"GO:0042303","GO:0042303","molting cycle","7/18","87/11228",3.8962890480955e-11,8.98997424267888e-10,3.15104249075759e-10,"wg/arm/fz/sgg/Axn/Apc/pan",7
"GO:0048749","GO:0048749","compound eye development","10/18","365/11228",4.04884415406153e-11,9.11953945176717e-10,3.19645591110121e-10,"wg/arm/dpp/Tak1/fz/arr/dsh/gish/Apc/Egfr",10
"GO:0002164","GO:0002164","larval development","8/18","164/11228",6.74804883786903e-11,1.48457074433119e-09,5.20351379174723e-10,"wg/arm/dpp/fz/sgg/Axn/Apc/pan",8
"GO:0001654","GO:0001654","eye development","10/18","389/11228",7.59110422404623e-11,1.56112708607559e-09,5.47184858255048e-10,"wg/arm/dpp/Tak1/fz/arr/dsh/gish/Apc/Egfr",10
"GO:0048880","GO:0048880","sensory system development","10/18","389/11228",7.59110422404623e-11,1.56112708607559e-09,5.47184858255048e-10,"wg/arm/dpp/Tak1/fz/arr/dsh/gish/Apc/Egfr",10
"GO:0150063","GO:0150063","visual system development","10/18","389/11228",7.59110422404623e-11,1.56112708607559e-09,5.47184858255048e-10,"wg/arm/dpp/Tak1/fz/arr/dsh/gish/Apc/Egfr",10
"GO:0030855","GO:0030855","epithelial cell differentiation","10/18","413/11228",1.36870345396294e-10,2.75487971797648e-09,9.65602660690542e-10,"wg/ovo/dpp/fz/dsh/sgg/Axn/Apc/Egfr/tow",10
"GO:0008587","GO:0008587","imaginal disc-derived wing margin morphogenesis","6/18","53/11228",1.46876184643849e-10,2.89468480568919e-09,1.01460522286869e-09,"wg/arm/arr/dsh/sgg/Axn",6
"GO:0045165","GO:0045165","cell fate commitment","9/18","311/11228",3.34041418045542e-10,6.44904451981802e-09,2.26043064842848e-09,"wg/arm/en/dpp/nkd/fz/Apc/Egfr/pan",9
"GO:0042335","GO:0042335","cuticle development","8/18","238/11228",1.32096030059667e-09,2.4992568887289e-08,8.76005251974633e-09,"wg/arm/ovo/fz/sgg/Axn/Apc/pan",8
"GO:0048589","GO:0048589","developmental growth","9/18","366/11228",1.41348669482354e-09,2.62187924177072e-08,9.1898515762521e-09,"wg/arm/dpp/fz/arr/dsh/sgg/Egfr/pan",9
"GO:0060828","GO:0060828","regulation of canonical Wnt signaling pathway","6/18","77/11228",1.48373577508932e-09,2.69925777545096e-08,9.46106820148051e-09,"nkd/sgg/Axn/gish/Apc/Cow",6
"GO:0090254","GO:0090254","cell elongation involved in imaginal disc-derived wing morphogenesis","4/18","11/11228",1.51507356805047e-09,2.70426338750141e-08,9.4786131864131e-09,"wg/arm/arr/pan",4
"GO:0007424","GO:0007424","open tracheal system development","8/18","243/11228",1.55757354226255e-09,2.7286380944081e-08,9.56404806652443e-09,"wg/arm/en/dpp/fz/dsh/Egfr/pan",8
"GO:0022603","GO:0022603","regulation of anatomical structure morphogenesis","8/18","251/11228",2.01287029991586e-09,3.46213691585529e-08,1.2135007549732e-08,"wg/ovo/dpp/fz/dsh/gish/Apc/Egfr",8
"GO:0060541","GO:0060541","respiratory system development","8/18","252/11228",2.07719060014826e-09,3.50896840667903e-08,1.22991548692989e-08,"wg/arm/en/dpp/fz/dsh/Egfr/pan",8
"GO:0090090","GO:0090090","negative regulation of canonical Wnt signaling pathway","5/18","40/11228",3.66838501834002e-09,6.08823197780643e-08,2.13396358407591e-08,"nkd/sgg/Axn/Apc/Cow",5
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","6/18","92/11228",4.40115313306373e-09,7.17843252392808e-08,2.51608572942845e-08,"nkd/sgg/Axn/gish/Apc/Cow",6
"GO:0001700","GO:0001700","embryonic development via the syncytial blastoderm","7/18","172/11228",4.83748336898492e-09,7.75637163908429e-08,2.71865702271231e-08,"wg/arm/dpp/Tak1/dsh/sgg/Egfr",7
"GO:0040007","GO:0040007","growth","9/18","432/11228",6.07610390122242e-09,9.57999048426068e-08,3.35784689278081e-08,"wg/arm/dpp/fz/arr/dsh/sgg/Egfr/pan",9
"GO:0030178","GO:0030178","negative regulation of Wnt signaling pathway","5/18","45/11228",6.77841906771505e-09,1.0318267547882e-07,3.61661764502374e-08,"nkd/sgg/Axn/Apc/Cow",5
"GO:0001708","GO:0001708","cell fate specification","6/18","99/11228",6.8715735255451e-09,1.0318267547882e-07,3.61661764502374e-08,"wg/arm/dpp/nkd/Apc/Egfr",6
"GO:0048863","GO:0048863","stem cell differentiation","6/18","99/11228",6.8715735255451e-09,1.0318267547882e-07,3.61661764502374e-08,"wg/arm/en/dpp/nkd/Egfr",6
"GO:0019827","GO:0019827","stem cell population maintenance","6/18","100/11228",7.30344762448043e-09,1.06293253119361e-07,3.72564534690095e-08,"arm/dpp/dsh/sgg/Axn/Egfr",6
"GO:0098727","GO:0098727","maintenance of cell number","6/18","100/11228",7.30344762448043e-09,1.06293253119361e-07,3.72564534690095e-08,"arm/dpp/dsh/sgg/Axn/Egfr",6
"GO:0009792","GO:0009792","embryo development ending in birth or egg hatching","7/18","183/11228",7.45074657855970e-09,1.06794034292689e-07,3.74319804186013e-08,"wg/arm/dpp/Tak1/dsh/sgg/Egfr",7
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","6/18","105/11228",9.81474470128974e-09,1.38578335633136e-07,4.85725778618424e-08,"wg/arm/fz/arr/dsh/pan",6
"GO:0007391","GO:0007391","dorsal closure","6/18","106/11228",1.0394038152468e-08,1.445994131211e-07,5.06830033750377e-08,"wg/arm/dpp/Tak1/dsh/Egfr",6
"GO:0001736","GO:0001736","establishment of planar polarity","6/18","107/11228",1.10013535310636e-08,1.4867543486266e-07,5.21116746208276e-08,"Tak1/fz/dsh/gish/Egfr/tow",6
"GO:0007164","GO:0007164","establishment of tissue polarity","6/18","107/11228",1.10013535310636e-08,1.4867543486266e-07,5.21116746208276e-08,"Tak1/fz/dsh/gish/Egfr/tow",6
"GO:0040003","GO:0040003","chitin-based cuticle development","7/18","197/11228",1.2435121142022e-08,1.65684853526096e-07,5.80735827981756e-08,"wg/arm/fz/sgg/Axn/Apc/pan",7
"GO:0030707","GO:0030707","ovarian follicle cell development","8/18","322/11228",1.42963643646991e-08,1.87838342902852e-07,6.58385201005878e-08,"wg/dpp/fz/dsh/sgg/Axn/Apc/Egfr",8
"GO:0002066","GO:0002066","columnar/cuboidal epithelial cell development","8/18","323/11228",1.46475722891493e-08,1.8981648473336e-07,6.65318712484792e-08,"wg/dpp/fz/dsh/sgg/Axn/Apc/Egfr",8
"GO:0048645","GO:0048645","animal organ formation","5/18","53/11228",1.57984560076486e-08,2.01964045719399e-07,7.07896677440868e-08,"wg/arm/dpp/fz/dsh",5
"GO:0001738","GO:0001738","morphogenesis of a polarized epithelium","6/18","118/11228",1.98561663409239e-08,2.50452444780187e-07,8.77851564546111e-08,"Tak1/fz/dsh/gish/Egfr/tow",6
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","7/18","213/11228",2.1357769700807e-08,2.62611321102576e-07,9.20469190467468e-08,"Tak1/fz/dsh/sgg/gish/Apc/Egfr",7
"GO:0002065","GO:0002065","columnar/cuboidal epithelial cell differentiation","8/18","339/11228",2.13753400897445e-08,2.62611321102576e-07,9.20469190467468e-08,"wg/dpp/fz/dsh/sgg/Axn/Apc/Egfr",8
"GO:0035019","GO:0035019","somatic stem cell population maintenance","4/18","20/11228",2.20449909889525e-08,2.67366172763449e-07,9.37135244469639e-08,"arm/dsh/sgg/Axn",4
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium","6/18","123/11228",2.54885039045523e-08,3.05216768274766e-07,1.0698039613503e-07,"wg/arm/dpp/Tak1/dsh/Egfr",6
"GO:0002064","GO:0002064","epithelial cell development","8/18","357/11228",3.20000050997103e-08,3.78400060304074e-07,1.32631600084325e-07,"wg/dpp/fz/dsh/sgg/Axn/Apc/Egfr",8
"GO:0042067","GO:0042067","establishment of ommatidial planar polarity","5/18","61/11228",3.24991021929298e-08,3.79557415734711e-07,1.33037260438894e-07,"Tak1/fz/dsh/gish/Egfr",5
"GO:0008544","GO:0008544","epidermis development","5/18","62/11228",3.53156851612897e-08,4.07422416616829e-07,1.42804118431402e-07,"wg/ovo/fz/dsh/tow",5
"GO:0009826","GO:0009826","unidimensional cell growth","4/18","23/11228",4.01701306286345e-08,4.51034011486325e-07,1.58090256613099e-07,"wg/arm/arr/pan",4
"GO:0035277","GO:0035277","spiracle morphogenesis, open tracheal system","4/18","23/11228",4.01701306286345e-08,4.51034011486325e-07,1.58090256613099e-07,"wg/en/Egfr/pan",4
"GO:0008219","GO:0008219","cell death","8/18","368/11228",4.05263118143104e-08,4.51034011486325e-07,1.58090256613099e-07,"wg/arm/en/dpp/Tak1/Axn/Apc/Egfr",8
"GO:0048598","GO:0048598","embryonic morphogenesis","7/18","241/11228",5.00614534465472e-08,5.50675987912019e-07,1.93015395785341e-07,"wg/arm/dpp/Tak1/dsh/Egfr/pan",7
"GO:0001709","GO:0001709","cell fate determination","6/18","142/11228",6.02991178912003e-08,6.55666270403166e-07,2.29815149857569e-07,"arm/en/dpp/fz/Egfr/pan",6
"GO:0046667","GO:0046667","compound eye retinal cell programmed cell death","4/18","27/11228",7.92969192637805e-08,8.52441882085641e-07,2.98786238852761e-07,"wg/arm/Apc/Egfr",4
"GO:0016049","GO:0016049","cell growth","6/18","154/11228",9.78481126294334e-08,1.04004847806117e-06,3.64543530198362e-07,"wg/arm/fz/arr/dsh/pan",6
"GO:0046666","GO:0046666","retinal cell programmed cell death","4/18","29/11228",1.07100936317763e-07,1.12574984174004e-06,3.94582396960179e-07,"wg/arm/Apc/Egfr",4
"GO:0016318","GO:0016318","ommatidial rotation","4/18","30/11228",1.23454589639439e-07,1.28338507471329e-06,4.49834537147752e-07,"Tak1/fz/gish/Egfr",4
"GO:0007611","GO:0007611","learning or memory","6/18","161/11228",1.27483519651208e-07,1.29676784505422e-06,4.54525282287839e-07,"wg/arm/arr/sgg/gish/Egfr",6
"GO:0050890","GO:0050890","cognition","6/18","161/11228",1.27483519651208e-07,1.29676784505422e-06,4.54525282287839e-07,"wg/arm/arr/sgg/gish/Egfr",6
"GO:0048066","GO:0048066","developmental pigmentation","5/18","83/11228",1.5526459032489e-07,1.56255640901432e-06,5.47685844931022e-07,"wg/ovo/dpp/arr/dsh",5
"GO:0043473","GO:0043473","pigmentation","5/18","92/11228",2.60695169300369e-07,2.59597505429631e-06,9.09905577059461e-07,"wg/ovo/dpp/arr/dsh",5
"GO:0009968","GO:0009968","negative regulation of signal transduction","7/18","310/11228",2.80094439326415e-07,2.7443804141752e-06,9.61922588700556e-07,"nkd/sgg/Axn/Apc/Egfr/tow/Cow",7
"GO:0048732","GO:0048732","gland development","6/18","184/11228",2.8140052872621e-07,2.7443804141752e-06,9.61922588700556e-07,"wg/dpp/fz/dsh/Egfr/pan",6
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","5/18","94/11228",2.90421460562298e-07,2.80345613971361e-06,9.8262900190251e-07,"wg/dpp/gish/Apc/Egfr",5
"GO:0048639","GO:0048639","positive regulation of developmental growth","5/18","98/11228",3.5791642482534e-07,3.42009028166436e-06,1.19876314534803e-06,"wg/dpp/fz/dsh/Egfr",5
"GO:0007548","GO:0007548","sex differentiation","5/18","99/11228",3.76589023298733e-07,3.56253216040602e-06,1.24868991935896e-06,"wg/en/dpp/dsh/Egfr",5
"GO:0012501","GO:0012501","programmed cell death","7/18","329/11228",4.19410012745187e-07,3.92833536690046e-06,1.37690624298837e-06,"wg/arm/en/dpp/Tak1/Apc/Egfr",7
"GO:0010623","GO:0010623","programmed cell death involved in cell development","5/18","103/11228",4.59143379490722e-07,4.25832977449238e-06,1.49257135747758e-06,"wg/arm/dpp/Apc/Egfr",5
"GO:0010648","GO:0010648","negative regulation of cell communication","7/18","336/11228",4.83684918339642e-07,4.44238769659516e-06,1.55708481632077e-06,"nkd/sgg/Axn/Apc/Egfr/tow/Cow",7
"GO:0023057","GO:0023057","negative regulation of signaling","7/18","337/11228",4.93511961869417e-07,4.48906073008143e-06,1.57344400798448e-06,"nkd/sgg/Axn/Apc/Egfr/tow/Cow",7
"GO:0014016","GO:0014016","neuroblast differentiation","4/18","45/11228",6.61208517537642e-07,5.95717388181532e-06,2.08802689748729e-06,"wg/arm/en/nkd",4
"GO:0035315","GO:0035315","hair cell differentiation","4/18","48/11228",8.60919272296231e-07,7.61149188403958e-06,2.66787575773057e-06,"ovo/fz/dsh/tow",4
"GO:0035316","GO:0035316","non-sensory hair organization","4/18","48/11228",8.60919272296231e-07,7.61149188403958e-06,2.66787575773057e-06,"ovo/fz/dsh/tow",4
"GO:0035153","GO:0035153","epithelial cell type specification, open tracheal system","3/18","13/11228",9.79628459934154e-07,8.57216454636707e-06,3.00459756548974e-06,"wg/arm/dpp",3
"GO:0048638","GO:0048638","regulation of developmental growth","6/18","228/11228",9.93702112259843e-07,8.57216454636707e-06,3.00459756548974e-06,"wg/dpp/fz/dsh/sgg/Egfr",6
"GO:0048585","GO:0048585","negative regulation of response to stimulus","7/18","374/11228",9.96763319345008e-07,8.57216454636707e-06,3.00459756548974e-06,"nkd/sgg/Axn/Apc/Egfr/tow/Cow",7
"GO:0035215","GO:0035215","genital disc development","4/18","50/11228",1.01692694945222e-06,8.65406942348212e-06,3.03330573984296e-06,"wg/en/dpp/Egfr",4
"GO:0045927","GO:0045927","positive regulation of growth","5/18","121/11228",1.02458327212473e-06,8.65406942348212e-06,3.03330573984296e-06,"wg/dpp/fz/dsh/Egfr",5
"GO:0009913","GO:0009913","epidermal cell differentiation","4/18","51/11228",1.10237117303803e-06,9.22870026277859e-06,3.23471746163932e-06,"ovo/fz/dsh/tow",4
"GO:0007431","GO:0007431","salivary gland development","5/18","126/11228",1.25263316596871e-06,1.03042693478817e-05,3.61171118791894e-06,"dpp/fz/dsh/Egfr/pan",5
"GO:0035272","GO:0035272","exocrine system development","5/18","126/11228",1.25263316596871e-06,1.03042693478817e-05,3.61171118791894e-06,"dpp/fz/dsh/Egfr/pan",5
"GO:0010941","GO:0010941","regulation of cell death","6/18","255/11228",1.91011170860489e-06,1.55772903132778e-05,5.4599381870285e-06,"wg/en/dpp/Axn/Apc/Egfr",6
"GO:0048072","GO:0048072","compound eye pigmentation","3/18","17/11228",2.31986262817299e-06,1.85982207309462e-05,6.51879329058423e-06,"wg/arr/dsh",3
"GO:0090162","GO:0090162","establishment of epithelial cell polarity","3/18","17/11228",2.31986262817299e-06,1.85982207309462e-05,6.51879329058423e-06,"fz/dsh/sgg",3
"GO:0045595","GO:0045595","regulation of cell differentiation","7/18","432/11228",2.61819741380907e-06,2.08135693568351e-05,7.2952869115423e-06,"wg/dpp/fz/dsh/sgg/Apc/Egfr",7
"GO:0046669","GO:0046669","regulation of compound eye retinal cell programmed cell death","3/18","18/11228",2.78104495505668e-06,2.19239043956969e-05,7.68446632318294e-06,"wg/Apc/Egfr",3
"GO:0009953","GO:0009953","dorsal/ventral pattern formation","5/18","150/11228",2.96439093502082e-06,2.31761473101628e-05,8.12338533737762e-06,"wg/dpp/Axn/Egfr/Cow",5
"GO:0045572","GO:0045572","positive regulation of imaginal disc growth","3/18","19/11228",3.29918083089485e-06,2.5374187528671e-05,8.89381225273324e-06,"wg/dpp/Egfr",3
"GO:0046668","GO:0046668","regulation of retinal cell programmed cell death","3/18","19/11228",3.29918083089485e-06,2.5374187528671e-05,8.89381225273324e-06,"wg/Apc/Egfr",3
"GO:0051247","GO:0051247","positive regulation of protein metabolic process","6/18","283/11228",3.49764321802086e-06,2.66836329374817e-05,9.35278110081979e-06,"dpp/Tak1/sgg/Axn/Apc/Egfr",6
"GO:0051493","GO:0051493","regulation of cytoskeleton organization","5/18","161/11228",4.19738354300757e-06,3.17657986534813e-05,1.11341121351359e-05,"fz/dsh/sgg/gish/Apc",5
"GO:0040008","GO:0040008","regulation of growth","6/18","301/11228",4.99529185067877e-06,3.75043340535089e-05,1.31455048702073e-05,"wg/dpp/fz/dsh/sgg/Egfr",6
"GO:0048584","GO:0048584","positive regulation of response to stimulus","7/18","477/11228",5.05807540317884e-06,3.76766876488754e-05,1.3205915888946e-05,"dpp/Tak1/fz/dsh/gish/Egfr/Cow",7
"GO:0035223","GO:0035223","leg disc pattern formation","3/18","22/11228",5.22752997766108e-06,3.86347137411514e-05,1.35417100572635e-05,"dpp/arr/Egfr",3
"GO:0016477","GO:0016477","cell migration","6/18","306/11228",5.49316084259951e-06,4.02831795123964e-05,1.41195076737564e-05,"dpp/fz/dsh/gish/Apc/Egfr",6
"GO:0007448","GO:0007448","anterior/posterior pattern specification, imaginal disc","3/18","25/11228",7.78389734903457e-06,5.62104342915015e-05,1.97021106062345e-05,"wg/en/dpp",3
"GO:0048070","GO:0048070","regulation of developmental pigmentation","3/18","25/11228",7.78389734903457e-06,5.62104342915015e-05,1.97021106062345e-05,"wg/arr/dsh",3
"GO:0035152","GO:0035152","regulation of tube architecture, open tracheal system","4/18","89/11228",1.03688331251777e-05,7.430997073044e-05,2.60461119173123e-05,"dpp/fz/dsh/Egfr",4
"GO:0046622","GO:0046622","positive regulation of organ growth","3/18","28/11228",1.10536725507676e-05,7.8622362654332e-05,2.75576323980356e-05,"wg/dpp/Egfr",3
"GO:0060284","GO:0060284","regulation of cell development","6/18","348/11228",1.14954341256953e-05,8.11543334545357e-05,2.84451040816499e-05,"wg/fz/dsh/sgg/Apc/Egfr",6
"GO:0110111","GO:0110111","negative regulation of animal organ morphogenesis","3/18","30/11228",1.36715478303523e-05,9.55164265880336e-05,3.34791080173924e-05,"dpp/Apc/Egfr",3
"GO:0008283","GO:0008283","cell proliferation","6/18","359/11228",1.37317484312606e-05,9.55164265880336e-05,3.34791080173924e-05,"wg/dpp/fz/Apc/Egfr/pan",6
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","4/18","96/11228",1.40088186231346e-05,9.67324264050024e-05,3.39053235980591e-05,"fz/dsh/gish/Apc",4
"GO:0048870","GO:0048870","cell motility","6/18","361/11228",1.4173947706268e-05,9.71634386241267e-05,3.40563960905752e-05,"dpp/fz/dsh/gish/Apc/Egfr",6
"GO:0051674","GO:0051674","localization of cell","6/18","366/11228",1.53302770571491e-05,0.000104334115799015,3.65697635214084e-05,"dpp/fz/dsh/gish/Apc/Egfr",6
"GO:0035218","GO:0035218","leg disc development","4/18","101/11228",1.71318430136822e-05,0.000115762310649595,4.05754176639841e-05,"ovo/dpp/arr/Egfr",4
"GO:0051093","GO:0051093","negative regulation of developmental process","5/18","218/11228",1.83730693148784e-05,0.00012326896150266,4.32065459812371e-05,"wg/dpp/sgg/Apc/Egfr",5
