Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
SRR8843746_1	SRR8843746_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14872037.0	0.0	101.0	46.0	38.53485781043875	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn	fail
SRR8843747_1	SRR8843747_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14254539.0	0.0	101.0	48.0	28.624471799476453	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn	fail
SRR8843748_1	SRR8843748_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19455799.0	0.0	101.0	46.0	37.70652400975101	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass	fail
SRR8843749_1	SRR8843749_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20264566.0	0.0	101.0	46.0	38.786741441004956	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn	fail
SRR8843750_1	SRR8843750_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7865176.0	0.0	101.0	45.0	10.863957316672735	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail	fail
SRR8843751_1	SRR8843751_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26576128.0	0.0	101.0	47.0	34.51384835162188	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn	fail
SRR8843752_1	SRR8843752_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14314202.0	0.0	101.0	46.0	41.37781105189089	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn	fail
SRR8843753_1	SRR8843753_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12577463.0	0.0	101.0	46.0	42.2979563220957	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn	fail
SRR8843754_1	SRR8843754_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18541036.0	0.0	101.0	46.0	38.85921358658652	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn	fail
SRR8843755_1	SRR8843755_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19275024.0	0.0	101.0	46.0	34.07832802573817	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn	fail
SRR8843757_1	SRR8843757_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13826835.0	0.0	101.0	46.0	40.13627308835859	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn	fail
SRR8844339_1	SRR8844339_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13265881.0	0.0	101.0	45.0	40.88784294458044	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass	fail
