"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045747","GO:0045747","positive regulation of Notch signaling pathway","4/42","34/11228",7.23032369647812e-06,0.000369185060245633,0.000230263276209115,"fng/ebi/dx/neur",4
"GO:0007423","GO:0007423","sensory organ development","10/42","476/11228",7.38676548720975e-06,0.000369185060245633,0.000230263276209115,"a/Frl/Nct/fng/ebi/N/smo/Ser/H/neur",10
"GO:0007476","GO:0007476","imaginal disc-derived wing morphogenesis","8/42","280/11228",7.64788846182421e-06,0.000369185060245633,0.000230263276209115,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0048585","GO:0048585","negative regulation of response to stimulus","9/42","374/11228",7.71562714665749e-06,0.000369185060245633,0.000230263276209115,"Ube3a/ebi/N/Ser/dx/Cul1/H/Smr/gro",9
"GO:0048581","GO:0048581","negative regulation of post-embryonic development","3/42","11/11228",7.86545659294255e-06,0.000369185060245633,0.000230263276209115,"N/Ser/neur",3
"GO:0060581","GO:0060581","cell fate commitment involved in pattern specification","4/42","35/11228",8.14118541289507e-06,0.000369185060245633,0.000230263276209115,"EcR/N/H/neur",4
"GO:0007472","GO:0007472","wing disc morphogenesis","8/42","290/11228",9.8884756400576e-06,0.000392144701847342,0.000244583363517846,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0045596","GO:0045596","negative regulation of cell differentiation","6/42","135/11228",9.9359378498541e-06,0.000392144701847342,0.000244583363517846,"HDAC3/usp/EcR/N/Ser/neur",6
"GO:0045314","GO:0045314","regulation of compound eye photoreceptor development","3/42","12/11228",1.04599704389455e-05,0.000392144701847342,0.000244583363517846,"Nct/N/neur",3
"GO:0046331","GO:0046331","lateral inhibition","3/42","12/11228",1.04599704389455e-05,0.000392144701847342,0.000244583363517846,"Nct/N/Ser",3
"GO:0035222","GO:0035222","wing disc pattern formation","5/42","79/11228",1.05273745462374e-05,0.000392144701847342,0.000244583363517846,"fng/N/smo/Ser/H",5
"GO:0045892","GO:0045892","negative regulation of transcription, DNA-templated","9/42","398/11228",1.27309599385109e-05,0.000428335200511836,0.000267155627911707,"HDAC3/ebi/usp/EcR/H/Smr/gro/Hey/cry",9
"GO:1902679","GO:1902679","negative regulation of RNA biosynthetic process","9/42","398/11228",1.27309599385109e-05,0.000428335200511836,0.000267155627911707,"HDAC3/ebi/usp/EcR/H/Smr/gro/Hey/cry",9
"GO:1903507","GO:1903507","negative regulation of nucleic acid-templated transcription","9/42","398/11228",1.27309599385109e-05,0.000428335200511836,0.000267155627911707,"HDAC3/ebi/usp/EcR/H/Smr/gro/Hey/cry",9
"GO:0042478","GO:0042478","regulation of eye photoreceptor cell development","3/42","13/11228",1.35625611582866e-05,0.000428659129942209,0.000267357664938472,"Nct/N/neur",3
"GO:0045168","GO:0045168","cell-cell signaling involved in cell fate commitment","3/42","13/11228",1.35625611582866e-05,0.000428659129942209,0.000267357664938472,"Nct/N/Ser",3
"GO:0051093","GO:0051093","negative regulation of developmental process","7/42","218/11228",1.42993927536367e-05,0.00043865490123656,0.000273592096648528,"HDAC3/Ube3a/usp/EcR/N/Ser/neur",7
"GO:0045165","GO:0045165","cell fate commitment","8/42","311/11228",1.6443494920464e-05,0.000490016148629827,0.000305626461980353,"Nct/EcR/kuz/N/Ser/H/neur/Hey",8
"GO:0045611","GO:0045611","negative regulation of hemocyte differentiation","3/42","14/11228",1.72165083915507e-05,0.000498800507010759,0.000311105327075389,"N/Ser/neur",3
"GO:0051253","GO:0051253","negative regulation of RNA metabolic process","9/42","417/11228",1.84768218526045e-05,0.000515382060986404,0.000321447357006205,"HDAC3/ebi/usp/EcR/H/Smr/gro/Hey/cry",9
"GO:0045746","GO:0045746","negative regulation of Notch signaling pathway","4/42","43/11228",1.87771028930809e-05,0.000515382060986404,0.000321447357006205,"Ser/dx/H/Smr",4
"GO:0030707","GO:0030707","ovarian follicle cell development","8/42","322/11228",2.11376522225052e-05,0.000536779991145268,0.000334793394083641,"fng/usp/EcR/kuz/N/smo/Smr/neur",8
"GO:0035171","GO:0035171","lamellocyte differentiation","3/42","15/11228",2.14646212017593e-05,0.000536779991145268,0.000334793394083641,"N/Ser/neur",3
"GO:1903431","GO:1903431","positive regulation of cell maturation","3/42","15/11228",2.14646212017593e-05,0.000536779991145268,0.000334793394083641,"Lasp/EcR/Cul1",3
"GO:0002066","GO:0002066","columnar/cuboidal epithelial cell development","8/42","323/11228",2.16153016568564e-05,0.000536779991145268,0.000334793394083641,"fng/usp/EcR/kuz/N/smo/Smr/neur",8
"GO:0035120","GO:0035120","post-embryonic appendage morphogenesis","8/42","326/11228",2.31031542209245e-05,0.000560385810521493,0.000349516506940791,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0035114","GO:0035114","imaginal disc-derived appendage morphogenesis","8/42","335/11228",2.80941799888e-05,0.000665959766552691,0.00041536371371001,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0045934","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","9/42","441/11228",2.87864206938542e-05,0.000667205261859776,0.000416140537749752,"HDAC3/ebi/usp/EcR/H/Smr/gro/Hey/cry",9
"GO:0035107","GO:0035107","appendage morphogenesis","8/42","338/11228",2.99470702069615e-05,0.000678772642622779,0.000423355193158276,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0002065","GO:0002065","columnar/cuboidal epithelial cell differentiation","8/42","339/11228",3.05870701853026e-05,0.000678772642622779,0.000423355193158276,"fng/usp/EcR/kuz/N/smo/Smr/neur",8
"GO:0048100","GO:0048100","wing disc anterior/posterior pattern formation","3/42","17/11228",3.19122462950845e-05,0.000693412952810847,0.000432486455908667,"fng/smo/Ser",3
"GO:0048737","GO:0048737","imaginal disc-derived appendage development","8/42","342/11228",3.25764474474894e-05,0.000693412952810847,0.000432486455908667,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0048736","GO:0048736","appendage development","8/42","346/11228",3.53970530244011e-05,0.000738382526089007,0.000460534289875366,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0003002","GO:0003002","regionalization","9/42","464/11228",4.29138673056183e-05,0.000857214461835893,0.000534650590315973,"Lasp/fng/EcR/N/smo/Ser/H/neur/Hey",9
"GO:0002064","GO:0002064","epithelial cell development","8/42","357/11228",4.4230937989735e-05,0.000857214461835893,0.000534650590315973,"fng/usp/EcR/kuz/N/smo/Smr/neur",8
"GO:0010558","GO:0010558","negative regulation of macromolecule biosynthetic process","9/42","466/11228",4.4381189778656e-05,0.000857214461835893,0.000534650590315973,"HDAC3/ebi/usp/EcR/H/Smr/gro/Hey/cry",9
"GO:2000113","GO:2000113","negative regulation of cellular macromolecule biosynthetic process","9/42","466/11228",4.4381189778656e-05,0.000857214461835893,0.000534650590315973,"HDAC3/ebi/usp/EcR/H/Smr/gro/Hey/cry",9
"GO:0007552","GO:0007552","metamorphosis","9/42","473/11228",4.98573186248726e-05,0.000925427416018587,0.000577195481757568,"fng/ebi/usp/EcR/N/smo/Ser/H/neur",9
"GO:0007417","GO:0007417","central nervous system development","7/42","265/11228",5.01408537901517e-05,0.000925427416018587,0.000577195481757568,"Frl/usp/EcR/kuz/N/smo/neur",7
"GO:0045664","GO:0045664","regulation of neuron differentiation","6/42","180/11228",5.0727938852392e-05,0.000925427416018587,0.000577195481757568,"Nct/EcR/kuz/N/Cul1/neur",6
"GO:0045610","GO:0045610","regulation of hemocyte differentiation","3/42","20/11228",5.30834514926942e-05,0.000925427416018587,0.000577195481757568,"N/Ser/neur",3
"GO:0009890","GO:0009890","negative regulation of biosynthetic process","9/42","477/11228",5.32364764727854e-05,0.000925427416018587,0.000577195481757568,"HDAC3/ebi/usp/EcR/H/Smr/gro/Hey/cry",9
"GO:0031327","GO:0031327","negative regulation of cellular biosynthetic process","9/42","477/11228",5.32364764727854e-05,0.000925427416018587,0.000577195481757568,"HDAC3/ebi/usp/EcR/H/Smr/gro/Hey/cry",9
"GO:0007447","GO:0007447","imaginal disc pattern formation","5/42","111/11228",5.48235503523356e-05,0.000937392836352231,0.000584658397200059,"fng/N/smo/Ser/H",5
"GO:0042461","GO:0042461","photoreceptor cell development","5/42","112/11228",5.72278384676849e-05,0.000962719927770892,0.000600455079338357,"Nct/ebi/EcR/N/neur",5
"GO:0007422","GO:0007422","peripheral nervous system development","4/42","59/11228",6.63132127329193e-05,0.00109785207746722,0.000684737935989042,"Ube3a/EcR/N/neur",4
"GO:0016360","GO:0016360","sensory organ precursor cell fate determination","3/42","22/11228",7.13366722617165e-05,0.00114467921798416,0.000713944347493778,"N/H/neur",3
"GO:0060582","GO:0060582","cell fate determination involved in pattern specification","3/42","22/11228",7.13366722617165e-05,0.00114467921798416,0.000713944347493778,"N/H/neur",3
"GO:0042981","GO:0042981","regulation of apoptotic process","6/42","193/11228",7.47912208330254e-05,0.00118192792922493,0.000737176626392499,"HDAC3/ebi/EcR/N/smo/Cul1",6
"GO:0048542","GO:0048542","lymph gland development","4/42","62/11228",8.06225637227945e-05,0.00118530902313854,0.000739285438057849,"kuz/N/Ser/neur",4
"GO:0001654","GO:0001654","eye development","8/42","389/11228",8.10485616456907e-05,0.00118530902313854,0.000739285438057849,"a/Frl/Nct/fng/N/smo/Ser/neur",8
"GO:0048880","GO:0048880","sensory system development","8/42","389/11228",8.10485616456907e-05,0.00118530902313854,0.000739285438057849,"a/Frl/Nct/fng/N/smo/Ser/neur",8
"GO:0150063","GO:0150063","visual system development","8/42","389/11228",8.10485616456907e-05,0.00118530902313854,0.000739285438057849,"a/Frl/Nct/fng/N/smo/Ser/neur",8
"GO:0042387","GO:0042387","plasmatocyte differentiation","3/42","23/11228",8.18238251831017e-05,0.00118530902313854,0.000739285438057849,"N/Ser/neur",3
"GO:1903707","GO:1903707","negative regulation of hemopoiesis","3/42","23/11228",8.18238251831017e-05,0.00118530902313854,0.000739285438057849,"N/Ser/neur",3
"GO:0035168","GO:0035168","larval lymph gland hemocyte differentiation","3/42","24/11228",9.32697767734388e-05,0.00128000496282496,0.000798347950775418,"N/Ser/neur",3
"GO:0035285","GO:0035285","appendage segmentation","3/42","24/11228",9.32697767734388e-05,0.00128000496282496,0.000798347950775418,"fng/N/Ser",3
"GO:0036011","GO:0036011","imaginal disc-derived leg segmentation","3/42","24/11228",9.32697767734388e-05,0.00128000496282496,0.000798347950775418,"fng/N/Ser",3
"GO:0048580","GO:0048580","regulation of post-embryonic development","3/42","24/11228",9.32697767734388e-05,0.00128000496282496,0.000798347950775418,"N/Ser/neur",3
"GO:0007560","GO:0007560","imaginal disc morphogenesis","8/42","399/11228",9.67872493420909e-05,0.0012942192444077,0.000807213496537277,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0048563","GO:0048563","post-embryonic animal organ morphogenesis","8/42","399/11228",9.67872493420909e-05,0.0012942192444077,0.000807213496537277,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0007448","GO:0007448","anterior/posterior pattern specification, imaginal disc","3/42","25/11228",0.00010571280518921,0.00137823069765433,0.000859612021143843,"fng/smo/Ser",3
"GO:0008052","GO:0008052","sensory organ boundary specification","3/42","25/11228",0.00010571280518921,0.00137823069765433,0.000859612021143843,"N/H/neur",3
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process","6/42","207/11228",0.000110118450811649,0.00141794499008087,0.00088438210008576,"HDAC3/Ube3a/EcR/N/Ser/neur",6
"GO:1903706","GO:1903706","regulation of hemopoiesis","3/42","26/11228",0.00011919075259787,0.00151604823121437,0.000945569770288623,"N/Ser/neur",3
"GO:0030855","GO:0030855","epithelial cell differentiation","8/42","413/11228",0.000123028007791783,0.00154600255574493,0.000964252489731412,"fng/usp/EcR/kuz/N/smo/Smr/neur",8
"GO:0048592","GO:0048592","eye morphogenesis","7/42","312/11228",0.000139808971072402,0.00171553831562959,0.00106999311607114,"Frl/Nct/fng/N/smo/Ser/neur",7
"GO:0090596","GO:0090596","sensory organ morphogenesis","7/42","312/11228",0.000139808971072402,0.00171553831562959,0.00106999311607114,"Frl/Nct/fng/N/smo/Ser/neur",7
"GO:0035051","GO:0035051","cardiocyte differentiation","3/42","28/11228",0.000149400611344152,0.00181191671665058,0.00113010499156286,"EcR/kuz/N",3
"GO:0043067","GO:0043067","regulation of programmed cell death","6/42","221/11228",0.000157624270383733,0.001889679471382,0.0011786061596751,"HDAC3/ebi/EcR/N/smo/Cul1",6
"GO:0007616","GO:0007616","long-term memory","4/42","74/11228",0.000160983202133144,0.00190801681619169,0.00119004328849621,"Ube3a/EcR/N/neur",4
"GO:0001709","GO:0001709","cell fate determination","5/42","142/11228",0.000176009703829713,0.0020626755179145,0.0012865049907364,"kuz/N/H/neur/Hey",5
"GO:0014706","GO:0014706","striated muscle tissue development","3/42","30/11228",0.000184193485684278,0.00213459783965225,0.00133136344038461,"EcR/kuz/N",3
"GO:0030718","GO:0030718","germ-line stem cell population maintenance","4/42","79/11228",0.00020739095880993,0.00236830659503912,0.00147712920798726,"fng/N/Ser/neur",4
"GO:0048707","GO:0048707","instar larval or pupal morphogenesis","8/42","446/11228",0.000208901444624735,0.00236830659503912,0.00147712920798726,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0010720","GO:0010720","positive regulation of cell development","5/42","152/11228",0.000241785877369306,0.00271164161393749,0.00169126963456968,"Lasp/EcR/kuz/N/Cul1",5
"GO:0060537","GO:0060537","muscle tissue development","3/42","33/11228",0.000245602697497925,0.00272514482436527,0.00169969168033278,"EcR/kuz/N",3
"GO:0009886","GO:0009886","post-embryonic animal morphogenesis","8/42","459/11228",0.000254116131950878,0.00278992763815543,0.0017400971694808,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0110116","GO:0110116","regulation of compound eye photoreceptor cell differentiation","3/42","34/11228",0.000268670991736774,0.0029189983789735,0.00182059948347946,"Nct/N/neur",3
"GO:0048569","GO:0048569","post-embryonic animal organ development","8/42","464/11228",0.000273523637611585,0.00294108406215343,0.00183437447687422,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0060562","GO:0060562","epithelial tube morphogenesis","8/42","470/11228",0.000298406751707204,0.00317590042888382,0.00198083106933461,"fng/ebi/EcR/N/smo/Ser/H/neur",8
"GO:0045597","GO:0045597","positive regulation of cell differentiation","5/42","160/11228",0.000306705654138881,0.00323125249764498,0.0020153545375633,"Lasp/EcR/kuz/N/Cul1",5
"GO:0010941","GO:0010941","regulation of cell death","6/42","255/11228",0.000341743113207776,0.00356438067075711,0.0022231288838148,"HDAC3/ebi/EcR/N/smo/Cul1",6
"GO:0048749","GO:0048749","compound eye development","7/42","365/11228",0.000365808537665596,0.00377760697807145,0.00235611960685084,"a/Frl/Nct/fng/N/Ser/neur",7
"GO:0006493","GO:0006493","protein O-linked glycosylation","3/42","39/11228",0.000405024989235638,0.00412490243996211,0.0025727301891271,"CG34056/CG34057/fng",3
"GO:0006915","GO:0006915","apoptotic process","6/42","264/11228",0.000411303790753652,0.00412490243996211,0.0025727301891271,"HDAC3/ebi/EcR/N/smo/Cul1",6
"GO:0051094","GO:0051094","positive regulation of developmental process","6/42","264/11228",0.000411303790753652,0.00412490243996211,0.0025727301891271,"Lasp/ebi/EcR/kuz/N/Cul1",6
"GO:1903429","GO:1903429","regulation of cell maturation","3/42","40/11228",0.000436728208524825,0.00433816687134659,0.00270574469040944,"Lasp/EcR/Cul1",3
"GO:0042386","GO:0042386","hemocyte differentiation","3/42","41/11228",0.00046998368825453,0.00460785510917441,0.00287395111012745,"N/Ser/neur",3
"GO:0051240","GO:0051240","positive regulation of multicellular organismal process","6/42","271/11228",0.000472713803146368,0.00460785510917441,0.00287395111012745,"Lasp/ebi/EcR/kuz/N/Cul1",6
"GO:0048469","GO:0048469","cell maturation","5/42","181/11228",0.000540334239295198,0.00513228172258133,0.00320103961705128,"Lasp/usp/EcR/N/Cul1",5
"GO:0010160","GO:0010160","formation of animal organ boundary","3/42","43/11228",0.000541276116475499,0.00513228172258133,0.00320103961705128,"N/H/neur",3
"GO:0046532","GO:0046532","regulation of photoreceptor cell differentiation","3/42","43/11228",0.000541276116475499,0.00513228172258133,0.00320103961705128,"Nct/N/neur",3
"GO:0048732","GO:0048732","gland development","5/42","184/11228",0.000582340964867077,0.00547190654375101,0.00341286596764205,"EcR/kuz/N/Ser/neur",5
"GO:0043696","GO:0043696","dedifferentiation","2/42","10/11228",0.000603147175446424,0.00556710180522673,0.00347223991081407,"HDAC3/N",2
"GO:0043697","GO:0043697","cell dedifferentiation","2/42","10/11228",0.000603147175446424,0.00556710180522673,0.00347223991081407,"HDAC3/N",2
"GO:0016267","GO:0016267","O-glycan processing, core 1","2/42","11/11228",0.00073543200185831,0.00672855770121243,0.00419664798844354,"CG34056/CG34057",2
"GO:0001745","GO:0001745","compound eye morphogenesis","6/42","298/11228",0.000779599100390967,0.0069904753582262,0.0043600078431486,"Frl/Nct/fng/N/Ser/neur",6
"GO:0002520","GO:0002520","immune system development","4/42","112/11228",0.000784166459168231,0.0069904753582262,0.0043600078431486,"kuz/N/Ser/neur",4
"GO:0048534","GO:0048534","hematopoietic or lymphoid organ development","4/42","112/11228",0.000784166459168231,0.0069904753582262,0.0043600078431486,"kuz/N/Ser/neur",4
"GO:0040008","GO:0040008","regulation of growth","6/42","301/11228",0.000821469074416032,0.00726095122555866,0.00452870551283771,"HDAC3/Ube3a/ebi/usp/kuz/N",6
"GO:0051961","GO:0051961","negative regulation of nervous system development","4/42","114/11228",0.000837969052950886,0.00727658633866975,0.00453845724105355,"HDAC3/Ube3a/EcR/N",4
"GO:0035166","GO:0035166","post-embryonic hemopoiesis","3/42","50/11228",0.000844167734399846,0.00727658633866975,0.00453845724105355,"N/Ser/neur",3
"GO:0035167","GO:0035167","larval lymph gland hemopoiesis","3/42","50/11228",0.000844167734399846,0.00727658633866975,0.00453845724105355,"N/Ser/neur",3
"GO:0040034","GO:0040034","regulation of development, heterochronic","2/42","12/11228",0.000880426408142181,0.00752692412862537,0.00469459465256141,"usp/EcR",2
"GO:0046530","GO:0046530","photoreceptor cell differentiation","5/42","202/11228",0.000888198724669713,0.00753163634008545,0.00469753369144957,"Nct/ebi/EcR/N/neur",5
"GO:0048190","GO:0048190","wing disc dorsal/ventral pattern formation","3/42","52/11228",0.000946913088137283,0.00789138200463149,0.00492190955125626,"fng/N/H",3
"GO:0048859","GO:0048859","formation of anatomical boundary","3/42","52/11228",0.000946913088137283,0.00789138200463149,0.00492190955125626,"N/H/neur",3
"GO:0007613","GO:0007613","memory","4/42","118/11228",0.000953321315995751,0.00789138200463149,0.00492190955125626,"Ube3a/EcR/N/neur",4
"GO:0040007","GO:0040007","growth","7/42","432/11228",0.000997833055866523,0.00809437563384963,0.00504851808217094,"HDAC3/Frl/Ube3a/ebi/usp/kuz/N",7
"GO:0048645","GO:0048645","animal organ formation","3/42","53/11228",0.00100112603716836,0.00809437563384963,0.00504851808217094,"N/H/neur",3
"GO:1902692","GO:1902692","regulation of neuroblast proliferation","3/42","53/11228",0.00100112603716836,0.00809437563384963,0.00504851808217094,"HDAC3/EcR/N",3
"GO:0007298","GO:0007298","border follicle cell migration","4/42","120/11228",0.00101500457407556,0.00814040339400113,0.0050772259146114,"usp/EcR/kuz/N",4
"GO:0007519","GO:0007519","skeletal muscle tissue development","2/42","13/11228",0.00103803801668471,0.00814040339400113,0.0050772259146114,"kuz/N",2
"GO:0014042","GO:0014042","positive regulation of neuron maturation","2/42","13/11228",0.00103803801668471,0.00814040339400113,0.0050772259146114,"EcR/Cul1",2
"GO:1904801","GO:1904801","positive regulation of neuron remodeling","2/42","13/11228",0.00103803801668471,0.00814040339400113,0.0050772259146114,"EcR/Cul1",2
"GO:0000122","GO:0000122","negative regulation of transcription by RNA polymerase II","5/42","210/11228",0.00105715823517318,0.00822847790511663,0.00513215859652024,"EcR/H/Smr/gro/Hey",5
"GO:0021700","GO:0021700","developmental maturation","5/42","213/11228",0.00112631401288428,0.00870181863287631,0.00542738448313827,"Lasp/usp/EcR/N/Cul1",5
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation","7/42","442/11228",0.0011404920582559,0.00874656777030076,0.00545529482973797,"Frl/Ube3a/usp/EcR/kuz/N/smo",7
"GO:0007450","GO:0007450","dorsal/ventral pattern formation, imaginal disc","3/42","56/11228",0.00117544662316424,0.00888399150695871,0.00554100696503051,"fng/N/H",3
"GO:0016322","GO:0016322","neuron remodeling","3/42","56/11228",0.00117544662316424,0.00888399150695871,0.00554100696503051,"usp/EcR/Cul1",3
"GO:0048812","GO:0048812","neuron projection morphogenesis","7/42","445/11228",0.00118629072195913,0.00890144764750626,0.00555189448065688,"Frl/Ube3a/usp/EcR/kuz/N/smo",7
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis","7/42","446/11228",0.00120187551681411,0.00893706707040505,0.0055741105611448,"Frl/Ube3a/usp/EcR/kuz/N/smo",7
"GO:0016266","GO:0016266","O-glycan processing","2/42","14/11228",0.00120817493473357,0.00893706707040505,0.0055741105611448,"CG34056/CG34057",2
"GO:0048858","GO:0048858","cell projection morphogenesis","7/42","448/11228",0.00123353000296586,0.00906036474009433,0.00565101217074057,"Frl/Ube3a/usp/EcR/kuz/N/smo",7
"GO:0042551","GO:0042551","neuron maturation","3/42","58/11228",0.00130165529104382,0.00943041005765159,0.00588181199538647,"usp/EcR/Cul1",3
"GO:0012501","GO:0012501","programmed cell death","6/42","329/11228",0.00130199333490108,0.00943041005765159,0.00588181199538647,"HDAC3/ebi/EcR/N/smo/Cul1",6
"GO:0032990","GO:0032990","cell part morphogenesis","7/42","457/11228",0.00138421135363768,0.00995677546099376,0.00621010973900605,"Frl/Ube3a/usp/EcR/kuz/N/smo",7
"GO:0007297","GO:0007297","ovarian follicle cell migration","4/42","132/11228",0.00144541707019015,0.0103258219466324,0.00644028658527408,"usp/EcR/kuz/N",4
"GO:0035282","GO:0035282","segmentation","5/42","229/11228",0.00155348149973194,0.0107392396082316,0.0066981380409619,"Lasp/fng/N/smo/Ser",5
"GO:0072091","GO:0072091","regulation of stem cell proliferation","3/42","62/11228",0.0015789659136566,0.0107392396082316,0.0066981380409619,"HDAC3/EcR/N",3
"GO:0006476","GO:0006476","protein deacetylation","2/42","16/11228",0.00158565953947043,0.0107392396082316,0.0066981380409619,"HDAC3/ebi",2
"GO:0014041","GO:0014041","regulation of neuron maturation","2/42","16/11228",0.00158565953947043,0.0107392396082316,0.0066981380409619,"EcR/Cul1",2
"GO:0016575","GO:0016575","histone deacetylation","2/42","16/11228",0.00158565953947043,0.0107392396082316,0.0066981380409619,"HDAC3/ebi",2
"GO:0035073","GO:0035073","pupariation","2/42","16/11228",0.00158565953947043,0.0107392396082316,0.0066981380409619,"usp/EcR",2
"GO:0060911","GO:0060911","cardiac cell fate commitment","2/42","16/11228",0.00158565953947043,0.0107392396082316,0.0066981380409619,"EcR/N",2
"GO:1904799","GO:1904799","regulation of neuron remodeling","2/42","16/11228",0.00158565953947043,0.0107392396082316,0.0066981380409619,"EcR/Cul1",2
"GO:0071495","GO:0071495","cellular response to endogenous stimulus","5/42","231/11228",0.00161424962187272,0.01086233777815,0.00677491522117038,"Ube3a/usp/EcR/Cul1/gro",5
"GO:0044057","GO:0044057","regulation of system process","3/42","64/11228",0.00173045531066199,0.0114959547071366,0.00717010648333294,"pain/Ctr1A/Lasp",3
"GO:2000177","GO:2000177","regulation of neural precursor cell proliferation","3/42","64/11228",0.00173045531066199,0.0114959547071366,0.00717010648333294,"HDAC3/EcR/N",3
"GO:0031175","GO:0031175","neuron projection development","7/42","478/11228",0.00179232345156375,0.0117604865193202,0.00733509680470291,"Frl/Ube3a/usp/EcR/kuz/N/smo",7
"GO:0042688","GO:0042688","crystal cell differentiation","2/42","17/11228",0.00179282584522714,0.0117604865193202,0.00733509680470291,"N/Ser",2
"GO:0071695","GO:0071695","anatomical structure maturation","3/42","65/11228",0.001809490651861,0.0117956171868189,0.00735700804506643,"usp/EcR/Cul1",3
"GO:0035214","GO:0035214","eye-antennal disc development","3/42","67/11228",0.00197425623697755,0.0127897469265067,0.00797705364139996,"N/smo/Ser",3
"GO:0010002","GO:0010002","cardioblast differentiation","2/42","18/11228",0.00201215469427796,0.0128753211419136,0.00803042687157754,"EcR/N",2
"GO:0035210","GO:0035210","prepupal development","2/42","18/11228",0.00201215469427796,0.0128753211419136,0.00803042687157754,"usp/EcR",2
